"charger_id","charger_name","lat","lon","charger_type","power_kw","connector","number_of_chargers","simultaneous_capacity","price_per_kwh","open_hour","public_private","taxi_access"
"seoul_owned_서울월드컵경기장 _6","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _7","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _8","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _9","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _10","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _11","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _12","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _13","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _14","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울월드컵경기장 _15","서울월드컵경기장 ","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울특별시 동부기술교육원_1","서울특별시 동부기술교육원","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울특별시 동부기술교육원_2","서울특별시 동부기술교육원","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울특별시 동부기술교육원_3","서울특별시 동부기술교육원","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_서울특별시 동부기술교육원_4","서울특별시 동부기술교육원","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석계역 공영주차장(문화공원 옆)_1","석계역 공영주차장(문화공원 옆)","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석계역 공영주차장(문화공원 옆)_2","석계역 공영주차장(문화공원 옆)","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석계역 공영주차장(석계역 앞)_1","석계역 공영주차장(석계역 앞)","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석계역 공영주차장(석계역 앞)_2","석계역 공영주차장(석계역 앞)","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석관동공영주차장_1","석관동공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석관동공영주차장_2","석관동공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석관동공영주차장_3","석관동공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_석관동공영주차장_4","석관동공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_성동구 마장동 거주자우선주차장 가로등형 충전기_1","성동구 마장동 거주자우선주차장 가로등형 충전기","","","DC콤보","50","DC콤보","1","1","","평일 09:00~18:00","서울시 소유",""
"seoul_owned_성동구청_1","성동구청","","","DC차데모+AC3상+DC콤보","50","DC차데모+AC3상+DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_성북구의회_1","성북구의회","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
